"harmonised_name","ihs2_name","ihs3_name","ihs4_name","ihs5_name","label","module","topic","needs_review","n_rounds"
"module_cc_endhr","","","module_cc_endhr","module_cc_endhr","ENUMERATOR: RECORD END TIME FOR MODULE CC: 

HOUR","f84","survey_admin",FALSE,4
"module_cc_endmin","","","module_cc_endmin","module_cc_endmin","MINUTES","f84","survey_admin",FALSE,4
"module_cc_startdate","","","module_cc_startdate","module_cc_startdate","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE CC:","f84","survey_admin",FALSE,4
"module_cc_starthr","","","module_cc_starthr","module_cc_starthr","HOUR","f84","survey_admin",FALSE,4
"module_cc_startmin","","","module_cc_startmin","module_cc_startmin","MINUTES","f84","survey_admin",FALSE,4
"module_ce_endhr","","","module_ce_endhr","module_ce_endhr","ENUMERATOR: RECORD END TIME FOR MODULE CE: 

HOUR","f84","survey_admin",FALSE,4
"module_ce_endmin","","","module_ce_endmin","module_ce_endmin","MINUTES","f84","survey_admin",FALSE,4
"module_ce_startdate","","","module_ce_startdate","module_ce_startdate","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE CE:","f84","survey_admin",FALSE,4
"module_ce_starthr","","","module_ce_starthr","module_ce_starthr","HOUR","f84","survey_admin",FALSE,4
"module_ce_startmin","","","module_ce_startmin","module_ce_startmin","MINUTES","f84","survey_admin",FALSE,4
"module_cf_endhr","","","module_cf_endhr","module_cf_endhr","ENUMERATOR: RECORD END TIME FOR MODULE CF: 

HOUR","f84","survey_admin",FALSE,4
"module_cf_endmin","","","module_cf_endmin","module_cf_endmin","MINUTES","f84","survey_admin",FALSE,4
"module_cf_startdate","","","module_cf_startdate","module_cf_startdate","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE CF:","f84","survey_admin",FALSE,4
"module_cf_starthr","","","module_cf_starthr","module_cf_starthr","HOUR","f84","survey_admin",FALSE,4
"module_cf_startmin","","","module_cf_startmin","module_cf_startmin","MINUTES","f84","survey_admin",FALSE,4
"module_cg_endhr","","","module_cg_endhr","module_cg_endhr","ENUMERATOR: RECORD END TIME FOR MODULE CG: 

HOUR","f84","survey_admin",FALSE,4
"module_cg_endmin","","","module_cg_endmin","module_cg_endmin","MINUTES","f84","survey_admin",FALSE,4
"module_cg_startdate","","","module_cg_startdate","module_cg_startdate","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE CG:","f84","survey_admin",FALSE,4
"module_cg_starthr","","","module_cg_starthr","module_cg_starthr","HOUR","f84","survey_admin",FALSE,4
"module_cg_startmin","","","module_cg_startmin","module_cg_startmin","MINUTES","f84","survey_admin",FALSE,4
"module_ch_endhr","","","module_ch_endhr","module_ch_endhr","ENUMERATOR: RECORD END TIME FOR MODULE CH: 

HOUR","f84","survey_admin",FALSE,4
"module_ch_endmin","","","module_ch_endmin","module_ch_endmin","MINUTES","f84","survey_admin",FALSE,4
"module_ch_startdate","","","module_ch_startdate","module_ch_startdate","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE CH:","f84","survey_admin",FALSE,4
"module_ch_starthr","","","module_ch_starthr","module_ch_starthr","HOUR","f84","survey_admin",FALSE,4
"module_ch_startmin","","","module_ch_startmin","module_ch_startmin","MINUTES","f84","survey_admin",FALSE,4
"module_ci_endhr","","","module_ci_endhr","module_ci_endhr","ENUMERATOR: RECORD END TIME FOR MODULE CI: 

HOUR","f84","survey_admin",FALSE,4
"module_ci_endmin","","","module_ci_endmin","module_ci_endmin","MINUTES","f84","survey_admin",FALSE,4
"module_ci_startdate","","","module_ci_startdate","module_ci_startdate","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE CI:","f84","survey_admin",FALSE,4
"module_ci_starthr","","","module_ci_starthr","module_ci_starthr","HOUR","f84","survey_admin",FALSE,4
"module_ci_startmin","","","module_ci_startmin","module_ci_startmin","MINUTES","f84","survey_admin",FALSE,4
"module_cj_endhr","","","module_cj_endhr","module_cj_endhr","ENUMERATOR: RECORD END TIME FOR MODULE CJ: 

HOUR","f84","survey_admin",FALSE,4
"module_cj_endmin","","","module_cj_endmin","module_cj_endmin","MINUTES","f84","survey_admin",FALSE,4
"module_cj_startdate","","","module_cj_startdate","module_cj_startdate","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE CJ:","f84","survey_admin",FALSE,4
"module_cj_starthr","","","module_cj_starthr","module_cj_starthr","HOUR","f84","survey_admin",FALSE,4
"module_cj_startmin","","","module_cj_startmin","module_cj_startmin","MINUTES","f84","survey_admin",FALSE,4
"moduleb_respondent","","","moduleb_respondent","moduleb_respondent","ENUMERATOR: RECORD PRIMARY RESPONDENT ID FOR MODULE B:","f1","survey_admin",FALSE,4
"moduleb_start_date","","","moduleb_start_date","moduleb_start_date","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE B:","f1","survey_admin",FALSE,4
